Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal sand and gravel extraction in Barangay Sta. Catalina, Municipality of Atimonan, Province of Quezon",MMD-IMC No. 2025-49,Quezon,Atimonan ,"Sta. Catalina
Malinao Ilaya",ND,121.840000°,14.007778°,"https://www.google.com/maps/search/?api=1&query=14.007778,121.84",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Ms. Santa Hernandez, Operator, was extracting sand and gravel evident by the presence of fresh excavation marks, approximately 200 cubic meters of stockpiled materials; heavy equipment, i.e., one excavator and three dump trucks, in the subject area even though pending the approval of application for a permit. 

2. Furthermore, Ms. Hernandez is also undertaking an ongoing roadway construction ion Barangay Malinao Ilaya intended to serve as an access road to the supposed quarry operation in Barangay Sta. Catalina, which commenced approximately one to two months prior the time of investigation.

3. Despite claiming grant of Levelling Permit by the Municipal Government of Atimonan, and Special Permit to Transport and Dispose (SPTD) by the Provincial Government of Quezon, Ms. Hernandez failed to present the purported Certification/Permit from the government agency(ies) aforementioned, and verification to the Provincial Mining Regulatory Board of Quezon confirmed no SPTD nor any Certification was Issued for the said activity.  ","May 27, 2025

June 11, 2025",Theft of Minerals (Section 103 of RA 7942),1,7/28/2025,Cease and Desist Order dated 7/28/2025 to Ms. Santa Hernandez; Letter dated  7/28/2025 to LGU Atimonan; Letter dated 7/28/2025 to the Provincial Government of Quezon
"Alleged pressure by permit holders of Industrial Sand and Gravel Permit on the Indigenous People at Agos RIver, Municipalities of Infanta and General Nakar, Province of Quezon ",MMD-IMC No. 2025-50,Quezon,"Infanta, 
General Nakar",ND,ND,121.624768°,14.745638°,"https://www.google.com/maps/search/?api=1&query=14.745638,121.624768",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. The sand and gravel operations being questioned are covered by valid and existing Industrial Sand and Gravel (ISAG) Permits issued by the Provincial Mining Regulatory Board of Quezon: ISAG-QP-0641 of Evie May S. Cuerdo in Barangay Banugao, Infanta with 2.4397 heactares; and ISAG-QP-0586 of Hernando Avellaneda in Barangay Banugao, Infanta, Quezon with 2.6541 hectares; 

2. Based on plotting of permit coordinates, the activities are within the authorized permit area; 

3. The tribal group did not present official documents such as CADT or Certificate of Ancestral Domain Title delineating the riverbank portion in question;

4. Interviews with the permit holders revealed that they have offered the Dumagat to be involved in legal operations; and some tribal members allegedly continue to extract and sell materials independently to unauthorized haulers, which constitutes unauthorized resource extraction; and 

5. There were no violations observed during the inspection with the permit holders. ",6/26/2025,Not Applicable,NA,NA,Letter dated 7/28/2025 to National Commission on Indigenous People's; Letter dated 7/28/2025 to the Provincial Government of Quezon
"Alleged illegal quarrying in Brgy. Pansol, Calamba, Laguna",MMD-IMC No. 2025-51,Laguna,Calamba,Pansol,ND,121.18160°,14.17170°,"https://www.google.com/maps/search/?api=1&query=14.1717,121.1816",Not Illegal Mining,Not Applicable,Conducted Investigation,"The alleged quarrying activity appears to be a land development activity being undertaken by Acres and Springs, Inc. Furthermore, it was confirmed that the activity is outside the Mt. Makiling Forest Reserve, contrary to claims that the operation is within the said reserve.

According to Mr. Emmond Lozada, representative of ASI, the area being developed is part of a seven-hectare property owned by the company, intended for subdivision development. He further stated that the area is currently undergoing cut-and-fill operations as part of site preparation. However, the ongoing operations are not covered by the necessary permits, such as a Development Permit or Levelling Permit, and are only supported by an Environmental Compliance Certificate.",7/14/2025,Not Applicable,NA,NA,"Memorandum dated 7/16/2025 from EMB CALABARZON Region cc MGB 4A re Complete Staff Work on activities to the Acres Hotsprings Village Project of Acres and Springs, Inc. with ECC-4A-1402-0093 issued on 05 March 2014, and informing this Office that an NOV dated 7/15/2025 was issued to the project and that a TC is set relative to the issued NOV

Letter dated 7/29/2025 to the City Government of Calamba"
"Seizure of two mini dump trucks loaded with illegally-sourced minerals  in Brgy. Aga, Nasugbu, Batangas",MMD-IMC No. 2025-52,Batangas,Nasugbu,Aga,ND,120.77916667°,14.08916667°,"https://www.google.com/maps/search/?api=1&query=14.08916667,120.77916667",Illegal Transport/Export of Minerals/Products/By-Products,Sand,Conducted Investigation,"Two mini dump trucks bearing Plate Nos. RKR 841 and CBA 3412, driven by Messrs. John Christian C. Rogador and Florencio D. Calimag, respectively, along the National Highway in Brgy. Aga, Nasugbu, Batangas, were seized by CENRO Calaca.",6/6/2025,Illegal Transport (Section 110 of RA 7942),0,NA,Creation of Confiscation Panel thru Regional Special Order dated 7/15/2025 (MGB Admin Case No. 2025-003)
"Complaint against the alleged quarrying operations at Sitio Genting, Brgy. Escribano, San Juan, Batangas",MMD-IMC No. 2025-53,Batangas,San Juan,Escribano,Genting,121.343199°,13.784092°,"https://www.google.com/maps/search/?api=1&query=13.784092,121.343199",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. The supposed illegal quarrying operation is apparently a development activity for the Dwarf Coconut Plantation Project owned by Ms. Shyne C. De Chavez, which is covered by pertinent permits, i.e., Certificate of Non-Coverage, Land Development and Ground Preparation Permit (LDGPP), and Special Permit to Transport and Dispose, from the Environmental Management Bureau Regional Office No. IV CALABARZON, Local Government Unit (LGU) of San Juan, Batangas, and the Provincial Government of Batangas, respectively.

2. Although no illegal quarrying was observed during the visit, the ongoing excavation practices raise geohazard and slope stability concerns due to the steep and unstable lens-shaped slopes. 

3. The site is adjacent to an inactive creek which, if reactivated during periods of heavy rainfall, could potentially redirect floodwaters and pose risks to nearby communities.",7/16/2025,Not Applicable,NA,NA,Letter dated 7/29/2025 to Municipal Government of San Juan; Letter dated 7/29/2025 to Complainant
"Complaint against the alleged quarrying operations in Sabang, Quezon, Quezon",MMD-IMC No. 2025-54,Quezon,Quezon,Sabang,ND,122.098042°, 14.098783°,"https://www.google.com/maps/search/?api=1&query=14.098783,122.098042",Not Illegal Mining,Not Applicable,Conducted Investigation,"Findings from the said investigation disclosed, among others, that the subject area is covered by Industrial Sand and Gravel Permit No. IP-Q-333 issued on 07 April 2022 by the Provincial Government of Quezon to Ms. Alexandria L. Llamas, and that the extraction activities are being conducted within the confines of her Permit Area.",7/16/2025,Not Applicable,NA,NA,Letter dated 8/1/2025 to Complainant; Letter dated 8/1/2025 to the Provincial Government of Quezon
"Alleged illegal sand collection at Sitio Dalahican, Brgy. Pugon, San Francisco, Quezon",MMD-IMC No. 2025-55,Quezon,San Francisco,Pugon,Dalahican,122.577778°, 13.173056°,"https://www.google.com/maps/search/?api=1&query=13.173056,122.577778",Batas Pambansa Blg. 265,Sand,Conducted Investigation,"1. Messrs. Ryan Dadula and Rogel Garcia were involved in the extraction of beach sand in the said barangay, wherein the extracted materials will be utilized for the construction of their house and an open canal.

2. A seizure of certain equipment allegedly utilized in mining and/or quarrying operations was carried out by the Barangay Local Government Unit of Pugon. However, after careful review and based on the records of this Office, it was found that the officials and personnel of BLGU of Pugon are not deputized, pursuant to the pertinent provisions of DAO No. 2008-22 , and therefore not authorized to conduct the seizure of equipment related to mining activities.",7/7/2025,Batas Pambansa 265,2,8/5/2025,Cease and Desist Orders dated 8/5/2025 to Messrs. Rogel Garcia and Ryan Dadula; Letters dated 8/5/2025 to Barangay Chairman Cesar K. Castillo
"Alleged Illegal Quarrying in Sito Bayabas, Brgy. Santo Tomas, Tagkawayan, Quezon",MMD-IMC No. 2025-56,Quezon,Tagkawayan,Sto. Tomas,Bayabas,122.547557° ,14.054195°,"https://www.google.com/maps/search/?api=1&query=14.054195,122.547557",Illegal Quarrying(Non-Metallic)/SAG Extraction,Silica,Conducted Investigation,"1.  Brgy. Chairman Romeo Villafuerte confirmed that Mr. Eduardo Ilapaan (permit holder) and Mr. Jan Robert Dela Cruz (operator and business partner) hold a valid quarry permit (QP-Q-0094) for operations in Brgy. Landing, Tagkawayan, Quezon. However, actual quarrying activities reportedly took place during the first week of July in Sitio Bayabas, Brgy. Sto. Tomas, within the property of Ms. Marissa Montefalco which was initially believed to be intended only as a haul road.

2. Upon inspection of Ms. Montefalco’s property, no signages or heavy equipment were found. However, there were visible excavation marks, equipment imprints, a barrack near the entrance, and three access roads leading to stockpiles, the barangay road, and unfinished excavation areas.

3. In an interview, Mr. Ilapaan denied knowledge of the operation as his application for quarry permit in Brgy. Sto Tomas is still under processing with PMRB – Quezon. ",7/23/2025,Not Applicable,0,NA,Letters dated 8/11/2025 to Messrs. Eduardo Ilapaan and Jan Robert Dela Cruz; Letter dated 8/11/2025 to the Provincial Government of Quezon; Letter dated 8/11/2025 to the Municipal Government of Tagkawayan
"Allegel Illegal Sand Extraction in Brgy. Apad, Jomalig, Quezon",MMD-IMC No. 2025-57,Quezon,Jomalig,Apad,ND,122.429553°,14.706512°,"https://www.google.com/maps/search/?api=1&query=14.706512,122.429553",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand,Conducted Investigation,"The investigation confirmed the presence of two large-scale sand extraction pits, each approximately the size of five to six basketball courts, located in Barangay Apad, Jomalig, Quezon. These activities were conducted without the necessary permits

The extraction operations were reportedly associated with a national government project for the concreting of the Apad-Talisoy Road. The contractor and operator identified for the said activity is Mase Builders, owned by Mr. Jerwin Sy.

The extraction site is situated adjacent to a public road and within 200 meters from the shoreline.",5/22/2025,Batas Pambansa 265,1,8/8/2025,Cease and Desist Order dated 8/8/2025 to Mase Builders; Letter dated 8/8/2025 to DPWH Quezon 1st District Engineering Office
"Alleged illegal quarrying along Mounts Makiling and Malepunyo in Barangay Santa Clara, Santo Tomas,  Batangas",MMD-IMC No. 2025-58,Batangas,"Sto. Tomas,  Batangas
Alaminos, Laguna",Sta. Clara,ND,121.220716°,14.011486°,"https://www.google.com/maps/search/?api=1&query=14.011486,121.220716",Not Illegal Mining,Not Applicable,Conducted Investigation,"Findings from the said investigation disclosed, among others, that the subject area is covered by valid quarry permits, specifically: QP-09-22, issued to Makiling Construction Ventures Corporation, which is valid until November 23, 2027; and SP-09-21(E), issued to Adventureland International Leisure Corporationtion which is valid until December 15, 2025.",8/1/2025,Not Applicable,NA,NA,Letter dated 8/8/2025 to the Provincial Government of Batangas
"Alleged Illegal Quarrying Activities in Brgy. Batangan and Brgy. Pisa, General Nakar, Quezon",MMD-IMC No. 2025-59,Quezon,General Nakar,"Brgy. Batangan
Bargy. Pisa",ND,NA,NA,"https://www.google.com/maps/search/?api=1&query=14.5689,121.329",Not Illegal Mining,,Conducted Investigation,"Findings from the said investigation disclosed, among others, that the ongoing operations in Brgy. Batangan and Brgy. Pisa is part of a legitimate Government Infratructure Project for River Protection Initiative contracted under Silver Wolves Corporation with ISAG Permit No. IP-Q-354, contrary to the alleged operator which is Lux Dragon Corporation.  Additionally, no evidence of illegal quarrying was observed based on permit verification and site inspection.  ",7/15/2025,Not Applicable,NA,NA,Letter dated */*/2025 to the Provincial Government of Quezon; Letter dated 8/19/2025 to Complainant
"Follow-up Investigation on Dredging Activity along Agos River in Brgys. Pamplona, Anoling, and Banglos, General Nakar, Quezon",MMD-IMC No. 2025-60,Quezon,General Nakar,"Brgys. Pamplona, Anoling, and Banglos",ND,NA,NA,"https://www.google.com/maps/search/?api=1&query=13.9666,121.6039",Not Illegal Mining,Not Applicable,Conducted Investigation,"Findings from the said investigations disclose, among others, that;

1. The dredging activities within the Brgys. of Pamplona, Anoling, and Banglos are legal, and authorized;

2. No physical evidence of environmental degrdation, such as erosion or landslides, was observed; and

3. The allegations of profit-making and unauthorized use of private land are not substantiated.",7/28/2025,Not Applicable,NA,NA,
"Alleged illegal quarrying by Jhon Deniel’s Hollowblocks in Brgy. Bilibinwang, Agoncillo, Batangas",MMD-IMC No. 2024-01,Batangas,Agoncillo,Bilibinwang,ND,"13° 59' 1"" N","120° 57' 22"" E","https://www.google.com/maps/search/?api=1&query=13° 59' 1"" N, 120° 57' 22"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,A field investigation was conducted on 14 December 2023 by the Community Environment and Natural Resources Office of Calaca.,12/14/2023,Theft of Minerals (Section 103 of RA 7942),2,1/18/24,"Cease and Desist Orders to Ms. Leonila Barrion and Mr. Danny Barrion dated 1/18/2024 and Letter to Complainant dated 1/18/2024

Monitoring Report dated 6/25/2024 of CENRO Calaca wherein the said Office (a) advised Mr. John Ong, owner of the lot to refrain from authorizing any extraction and/or hauling activity without a permit, and (b) furnished Mr. Ong the 1/18/2024 CDO issued by this Office'; CENRO Calaca will conduct monitoring so as to prevent illegal mining activities to occur 

Memorandum dated 7/23/2024 from DENR 4A endorsing the Partial Report of CENRO Calaca on the compliance of Mr. Danny Barrion and Ms. Leonila Barrion"
"Alleged illegal quarrying in Brgy. San Jose, Lipa, Batangas with Ticket No. SMS-G-20240102-956-24-1",MMD-IMC No. 2024-02,Batangas,Lipa,San Jose,ND," 13° 55' 32"" N","121° 11' 34"" E","https://www.google.com/maps/search/?api=1&query=13° 55' 32"" N, 121° 11' 34"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 04 January 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Community Environment and Natural Resources Office of Lipa.",01/04/2024,Theft of Minerals (Section 103 of RA 7942),1,1/18/24,Cease and Desist Order to Rumali Land Corporation and Memorandum to DENR Action Center/Hotline dated 1/18/2024
"Alleged illegal quarrying in Brgy. San Jose, Lipa, Batangas with Ticket No. SMS-G-20241128-748-5-1",MMD-IMC No. 2024-02B,Batangas,Lipa,San Jose,ND," 13° 55' 32"" N","121° 11' 34"" E","https://www.google.com/maps/search/?api=1&query=13° 55' 32"" N, 121° 11' 34"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 02 December 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa and Barangay Local Government Unit of San Jose.",12/2/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letter dated 12/12/2024 to National Bureau of Investigation

Memorandum dated 12/19/2024 from DENR 4A endorsing the pertinent Investigation Report dated 12/2/2024"
"Alleged sand/soil hauling operations in Barangays San Jose and Tipacan, Lipa City, Batangas",ND,Batangas,Lipa,San Jose & Tipacan,Purok 6 & Sitio Pacalat,121.191510°,13.925684°,"https://www.google.com/maps/search/?api=1&query=121.191510°, 13.925684°",Illegal Transport/Export of Minerals/Products/By-Products,Filling Materials,Conducted Investigation,"1.        The subject operation at Purok 6, Brgy. San Jose, Lipa City is apparently a land development activity confined within a private property owned by a certain RL Umali (Latitude: 13.925684°, Longitude: 121.191510°).  The materials extracted from the area were being transported to another project site owned by the same. Interviews with barangay officials and the site caretaker affirmed that the project is non-commercial in nature and do not involve hauling of earth materials outside barangay limits.

2.        In Barangay Tipacan, barangay officials and residents refuted the alleged presence of hauling operations or similar activities. No heavy equipment or truck movements were observed in the vicinity of the area. Accessibility constraints of the area also suggest that the same is implausible to accommodate high-frequency hauling, i.e., the alleged movement of over 100 trucks.

3.        No pertinent permits were issued by the Provincial Government-Environment and Natural Resources Office of Batangas, City Environment and Natural Resources Office of Lipa, and the City Engineering Office of Lipa that allow the conduct of the subject activities.

4.        It may also be recalled that this Office issued a Cease and Desist Order (CDO) dated 18 January 2024 to Rumali Land Corporation (RLC) for the extraction, removal and/or disposition of minerals or mineral products, i.e., filling materials, in Barangay San Jose, Lipa City without a valid permit or authority. Such order still stands and shall only be lifted once RLC has secured pertinent permits. ",6/3/2025,Illegal Transport (Section 110 of RA 7942),0,NA,Letter dated 06/18/2025 to City Local Government of Lipa; Letter dated 06/18/2025 to Rumali Land Corporation
"Alleged illegal quarrying activities at Sitio Bubucal, Brgy. San Luis, Antipolo,  Rizal",MMD-IMC No. 2024-03,Rizal,Antipolo,San Luis,Bubucal,14° 36’ 3” N,121° 12’ 47” E,"https://www.google.com/maps/search/?api=1&query=14° 36’ 3” N, 121° 12’ 47” E",Not Illegal Mining,NA,Conducted Investigation,"A field investigation was conducted on 18 January 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal, together with representatives from the Barangay Local Government Unit of San Luis.",1/18/2024,Not Applicable,NA,NA,Memorandum to DENR Action Center/Hotline dated 2/19/2024 and Letter to Mayor of Antipolo dated 2/19/2024
"Alleged illegal extraction of beach sand in Brgy. Silangan, Quezon, Quezon",MMD-IMC No. 2024-04+,Quezon,Quezon,Silangan,ND,14° 0’ 55” N,122° 11’ 15” E,"https://www.google.com/maps/search/?api=1&query=14° 0’ 55” N, 122° 11’ 15” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 25 January 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag, Patrol Sector of Alabat Island, and Municipal Environment and Natural Resources Office of Quezon.",1/25/2024,Batas Pambansa 265,1,2/19/24,"Cease and Desist Order to Mr. Santiago Labrada dated 2/19/2024

Spot Report dafed 11/20/2024 from Quezon Municipal Police Station, findings of which disclosed that (a) an illegal sand extraction is being undertaken within Brgy. Silangan, Quezon, Quezon, (b) one unit Topwdown Tricycle Badja (Color: Black, Plate Number: ND, Marking: ""SANY MEL"") loaded with approximately 0.5 cubic meters sand was seized, (c) the tricycle is owned by Mr. Santiago Labrada, and (d) the seized items are currently under its custody"
"Alleged illegal extraction of beach sand in Barangay Silangan, Quezon, Quezon",MMD-IMC No. 2024-04B,Quezon,Quezon,Silangan,ND,14° 0’ 55” N,122° 11’ 15” E,"https://www.google.com/maps/search/?api=1&query=14° 0’ 55” N, 122° 11’ 15” E",Batas Pambansa Blg. 265,Beach Sand,Conducted Investigation,"A field investigation was conducted on 11 December 2024 by the Embedded Technical Personnel of this Office, together with the Community Environment and Natural Resources Office of Calauag, Quezon.",12/11/2024,Batas Pambansa 265,NA,NA,Letter dated 1/15/2025 to the National Bureau of Investigation; Letter dated 1/15/2025 to the Provincial Government of Quezon
"Alleged illegal quarrying in Brgy. Puting Kahoy, Lian, Batangas",MMD-IMC No. 2024-05,Batangas,Lian,Puting Kahoy,ND," 13°58'26.65""N","120°38'50.71""E","https://www.google.com/maps/search/?api=1&query=13°58'26.65""N, 120°38'50.71""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 24 January 2024 by the officers and personnel of the National Bureau of Investigation – Batangas District Office, with the assistance of the Embedded Technical Personnel of this Office.",1/24/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter to NBI-BatDO dated 2/19/2024
"Alleged illegal quarrying in Brgy. San Jose, Lipa, Batangas",MMD-IMC No. 2024-06,Batangas,Lipa,San Jose,ND,ND,ND,ND,Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 05 February 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa.",2/5/2024,Not Applicable,NA,NA,"Memorandum to DENR Action Center/Hotline dated 2/19/2024 and Letter to Mayor of Lipa dated 2/19/2024  (EML-020124-917-002
and SMS-G-20240212-280-6)

Email dated 3/27/2024 to DENR 8888 re findings during the conduct of recent investigation (SMS-P-20240323-824-6)"
"Alleged illegal sand and gravel extraction in Brgy. Calumpang, Liliw, Laguna",MMD-IMC No. 2024-07,Laguna,Liliw,Calumpang,7,14° 12’ 24” N,121° 24' 4” E,"https://www.google.com/maps/search/?api=1&query=14° 12’ 24” N, 121° 24' 4” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 23 February 2024 by the Embedded Technical Personnel of this Office assigned at the Community Environment and Natural Resources Office of Sta. Cruz, together with representatives from the Provincial Government – Environment and Natural Resources Office of Laguna, Laguna Lake Development Authority , and the Provincial Environment and Natural Resources Office of Laguna.",2/23/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"Memorandum to Undersecretary for Field Operations – Luzon, Visayas and Environment dated 2/26/2024 and Memorandum to Environmental Law Enforcement and Protection Service dated 2/26/2024; Letter dated 11 March 2023 to Municipal Mayor of Liliw"
"Alleged illegal extraction of beach sand and gravel in Brgy. Caridad Ibaba, Atimonan, Quezon",MMD-IMC No. 2024-08,Quezon,Atimonan,Caridad Ibaba,ND,14° 0’ 55” N,121° 54’ 11” E,"https://www.google.com/maps/search/?api=1&query=14° 0’ 55” N, 121° 54’ 11” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 31 January 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Municipal Environment and Natural Resources Office of Atimonan.",1/31/2024,Batas Pambansa 265,4,2/26/24,"Cease and Desist Orders to Messrs. Dante Morales, Medardo Campomanes, Jerry Opalda, and Rojito Marvilla dated 2/26/2024 and Letter-Warning to Mr. Ryan C. Gaela, Barangay Chairman of Caridad Ibaba dated 2/26/2024"
"Alleged illegal quarrying activities at Sitio Asingan, Barangay San Isidro, Rodriguez, Rizal",MMD-IMC No. 2024-09,Rizal,Rodriguez,San Isidro,Asingan,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,A field investigation was conducted on 25 January 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal.,1/25/2024,Not Applicable,NA,NA,Letters dated 3/7/2024 to Mesdames Ma. Cynthia Ortiz Cariaga and Miikki Mikki
"Alleged illegal extraction and transport of materials at Sitio Bayabas, Brgy. Sto. Tomas, Tagkawayan, Quezon",MMD-IMC No. 2024-10,Quezon,Tagkawayan,Santo Tomas,Bayabas,14° 3’ 48” N,122° 33’ 24” E,"https://www.google.com/maps/search/?api=1&query=14° 3’ 48” N, 122° 33’ 24” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Quartz,Conducted Investigation,"A field investigation was conducted on 21 February 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag and Barangay Local Government Unit of Sto. Tomas.",2/21/2024,Theft of Minerals (Section 103 of RA 7942),1,3/12/24,"Cease and Desist Order to Ms. Marissa Montefolka dated 3/12/2024 and Letter-Warning to Mr. Romeo V. Villafuerte, Barangay Chairman of Santo Tomas dated 3/12/2024

1st Indorsement dated 08 April 2024 from DILG RO No. IV CALABARZON to Provincial Director DILG-Quezon re: Letter dated 3/12/2024 of this Office to Barangay Chairman Romeo V. Villafuerte

Monitoring Report dated 4/22/2024 from CENRO Calauag wherein it was found that Ms. Marissa Montefolka heeded to the 3/12/2024 CDO"
"Investigation and apprehension of offenders and seizure of illegally-sourced minerals, equipment and conveyances in Brgy. San Jose, Antipolo, Rizal",MMD-IMC No. 2024-11,Rizal,Antipolo,San Jose,Nagpatong,"14° 36' 12.7476"" N","121° 15' 7.2216"" E","https://www.google.com/maps/search/?api=1&query=14° 36' 12.7476"" N, 121° 15' 7.2216"" E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Escombro,Conducted Enforcement Activity based on MGB MC 2018-01,"A field investigation was conducted on 13 March 2024 by this Office, together with operatives of the National Bureau of Investigation - Environmental Crime Division.",3/13/2024,Theft of Minerals (Section 103 of RA 7942),1,3/18/2024,"1. Investigation Report dated 3/18/2024
2. Seizure Receipt dated 3/18/2024 
3. Joint Judicial Affidavit of Arrest by MGB 4A and NBI-EnCD filed on 3/14/2024
4. Stoppage Order dated 3/18/2024"
"Alleged illegal quarrying in Brgy. Paliparan, Calauan, Laguna",MMD-IMC No. 2024-12,Laguna,Calauan,Paliparan,ND,14.1191°N,121.2863°E,"https://www.google.com/maps/search/?api=1&query=14.1191°N, 121.2863°E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Earth Materials,Conducted Investigation,"A field investigation was conducted on 18 January 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Sta. Cruz.",1/18/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"NA

No actions taken since CENRO Sta. Cruz will conduct a Technical Conference, inviting the parties concerned, to discuss the matter"
"Alleged illegal quarrying and unauthorized construction of bunkhouse and lighthouse at Sitio Kuyapi, Brgy. Pamplona, General Nakar, Quezon",MMD-IMC No. 2024-14,Quezon,General Nakar,Pamplona,Kuyapi,14.7781°N,121.6508°E,"https://www.google.com/maps/search/?api=1&query=14.7781°N, 121.6508°E",Not Illegal Mining,Not Applicable,Conducted Investigation,An investigation was conducted on 23 November 2023 by CENRO Real.,11/23/2023,Not Applicable,NA,NA,"NA

No actions taken since the purported illegal sand and gravel extraction is apparently a dredging project of DPWH "
"Alleged illegal quarrying activities in Brgy. Bani, San Narciso, Quezon",MMD-IMC No. 2024-15,Quezon,San Narciso,Bani,ND,13° 38’ 15” N,122° 27’ 36” E,"https://www.google.com/maps/search/?api=1&query=13° 38’ 15” N, 122° 27’ 36” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Earth Materials,Conducted Investigation,A field investigation was conducted on 15 March 2024 by the Community Environment and Natural Resources Office of Catanauan and the Barangay Local Government Unit of Bani.,3/15/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"NA

No actions taken since CENRO Catanauan has already (a) advised the operator to secure the necessary Permit in case it opts to continue its operation, (b) requested the assistance of LGU concerned to monitor and/or report any illegal environment-related activities within the vicinity"
"Alleged illegal drilling operations in the Municipalities of Tanay and Baras, Rizal",MMD-IMC No. 2024-16,Rizal,Tanay and Baras,ND,ND,14.5689°N,121.3290°E,"https://www.google.com/maps/search/?api=1&query=14.5689°N, 121.3290°E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 25 March 2024 by this Office, together with representatives from the Provincial Environment and Natural Resources Office of Rizal.",3/25/2024,Not Applicable,NA,NA,Memorandum dated 04/02/2024 to MGB Director informing him about the findings during the investigation
"Alleged illegal quarrying operations in Brgy. Magsaysay, General Luna, Quezon",MMD-IMC No. 2024-17,Quezon,General Luna,Magsaysay,ND,13° 42’ 43” N,122° 15’ 58” E,"https://www.google.com/maps/search/?api=1&query=13° 42’ 43” N, 122° 15’ 58” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,A field investigation was conducted on 05 April 2024 by the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Magsaysay.,4/5/2024,Theft of Minerals (Section 103 of RA 7942),2,4/24/24,"Cease and Desist Orders dated 4/24/2024 to Messrs. Wilfredo Lorica and Rodrigo Batula; Letter dated 4/24/2024 to Complainant

Monitoring Report dated 5/17/2024 wherein no recent or active mining-related activies were undertaken within the vicinity; Moreover, the condition of the subject area remains the same, as observed from the previous investigation"
